peak_reduction,"100.0"
window_start,"11:00"
window_end,"14:00"
maximum_load,"22325260684.66895"
mass_flow,"127.78930181734655"
maximum_date,"2006-07-18"
requested_num_tanks,"9.283624702540315"
actual_num_tanks,"10"
interval_start,"11"
interval_end,"14"
requested_capacity,"22325260684.66895"
actual_capacity,"24047999999.999996"
computed_trim_temperature,"10.868544371281072"
Date/Time,Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),Baseline Electricity:Facility [J](TimeStep),Baseline NaturalGas:Facility [J](TimeStep),CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 2006-07-05T22:00:00,89306.12515695604,321502050.5650416,1937742301.2316864,8.906877744512737,6.8980656757378185,53.24554242389443,263.7935791200158,949656.8848320568,2883818.1529253908,8.906877744512737,8.903886762767515,2.129821696955776,595381617.6743395,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,0.7137954000028802,0.7137954000028802,0.0,171085.553991564,205748.6016470987,615907994.3696301,4340733043.403966,0.7137954000028802,-3.766106703347815,63.894650908673306,63.89465090867328,63.89465090867328,0.5235885755690071,-3.8,-1.4096189199783684,-1.4096189199783682,654328010.3508776,5025948.539621178
 2006-07-05T23:00:00,80218.65730230855,288787166.2883107,1613759321.2862525,7.503146605774314,5.830186727559068,63.89465090867329,0.0,0.0,0.0,7.503146605774314,7.503146605774314,0.0,511486706.3378781,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,0.1708041945414294,0.1708041945414294,0.0,153360.05164839362,121286.58258612368,552096185.934217,3833892337.4991264,0.1708041945414294,-3.784806692897906,63.89465090867329,63.894650908673285,63.894650908673285,0.6218345784276473,-3.8,-1.4847336074880348,-1.4847336074880348,568015130.2536192,5025948.539621178
 2006-07-06T00:00:00,89818.88848116912,323347998.53220874,1897765838.8229213,7.650323193759728,5.683010139573654,63.8946509086733,0.0,0.0,0.0,7.650323193759728,7.650323193759728,0.0,586463380.4804691,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,0.3388280699974716,0.3388280699974716,0.0,157377.8467048539,190724.7123172108,566560248.1374738,4003151586.259127,0.3388280699974716,-3.791347846602181,63.8946509086733,63.894650908673285,63.894650908673285,0.7161288672198542,-3.8,-1.6159880987796602,-1.6159880987796604,636547212.9441717,5025948.539621178
 2006-07-06T01:00:00,77187.48136503423,277874932.9141233,1618271927.913457,7.505443369741221,5.827889963592157,63.89465090867327,0.0,0.0,0.0,7.505443369741221,7.505443369741221,0.0,578172041.7235079,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-0.2505069250683087,-0.2505069250683087,0.0,138219.43568147725,167907.31173480515,497589968.4533181,3441312277.807855,-0.2505069250683087,-3.8,63.89465090867327,63.894650908673285,63.894650908673285,0.8032851203022789,-3.8,-1.8500117478021016,-1.8500117478021016,618606301.3778561,5025948.539621178
 2006-07-06T02:00:00,63842.02930950277,229831305.51421,1227230428.9887118,7.3027409897250415,6.030592343608338,63.89465090867327,0.0,0.0,0.0,7.3027409897250415,7.3027409897250415,0.0,512194296.4027669,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.090931443331568,-1.090931443331568,0.0,113702.38193706084,101458.6356357934,409328574.9734192,2627465253.3421464,-1.090931443331568,-3.799999999999999,63.89465090867327,63.89465090867328,62.59871464858078,0.8783377511047289,-3.8,-2.220828948585856,-2.1881365037344764,554303679.3955249,5025948.539621178
 2006-07-06T03:00:00,69248.10193644259,249293166.97119325,1300875905.3538551,7.340914909776251,5.992418423557132,63.89465090867329,0.0,0.0,0.0,7.340914909776251,7.340914909776251,0.0,527069901.637172,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.3846572599502032,-1.3846572599502032,0.0,105635.85992381688,92504.96266765578,380289095.7257406,2342864513.922009,-1.3846572599502032,-3.8,63.89465090867329,63.894650908673285,58.512645063444,0.935714491727576,-3.8,-2.682266373532653,-2.5794569909704066,556227261.7976158,5025948.539621178
 2006-07-06T04:00:00,10994.839285008058,39581421.42602901,120541207.77435625,11.70729014321325,11.58238015664074,21.29821696955776,0.0,0.0,0.0,11.70729014321325,11.70729014321325,0.0,525983361.4082626,5025948.539621177,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-3.1668288593704603,-3.1668288593704603,0.0,54015.86891541184,80207.37959772718,194457128.09548256,614174407.2576334,-3.1668288593704603,-3.8,63.89465090867329,63.89465090867327,16.563683293780453,0.9723862646508046,-3.799999999999999,-3.2528505175557427,-1.6893628575496695,549212843.4093959,5025948.539621177
 2006-07-06T05:00:00,117192.97617838848,421894714.2421986,2771420642.6940465,8.10319424953346,5.230139083799918,63.89465090867327,0.0,0.0,0.0,8.10319424953346,8.10319424953346,0.0,647547002.6714569,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-0.5154140270475039,-0.5154140270475039,0.0,127519.429633642,117999.1217530574,459069946.6811112,3186009223.0522394,-0.5154140270475039,-3.8,63.89465090867327,63.89465090867328,13.010315838678029,0.9910211561475962,-3.8,-3.4384073041122813,-2.0241907605204297,643875712.8844441,5025948.539621178
 2006-07-06T06:00:00,130222.7089774491,468801752.3188167,3175246519.0684934,8.312622507225592,5.020710826107787,63.89465090867328,0.0,0.0,0.0,8.312622507225592,8.312622507225592,0.0,763465831.7353013,18830442.81404151,1.0,6.7,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,5.884935456958076,5.884935456958076,0.0,60632.83692905528,0.0,218278212.94459903,1339311054.4296167,5.884935456958076,4.4956350546992265,63.89465090867328,63.89465090867328,0.0,1.0,-3.8,-3.8,-3.8,653535263.9192235,18831046.528675817
 2006-07-06T07:00:00,151341.3762273802,544828954.4185687,3827337612.261672,8.650886047528791,4.68244728580459,63.89465090867328,0.0,0.0,0.0,8.650886047528791,8.650886047528791,0.0,1062524462.362293,20638496.65582168,1.0,6.7,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,11.292912430225275,11.292912430225275,0.0,168972.7456804627,148153.63282045114,608301884.4496658,4425937035.926462,11.292912430225275,6.7,63.89465090867328,63.89465090867328,0.0,1.0,6.7,6.7,6.7,1074061575.909267,20664003.73551465
