Date/Time,CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 09/19  05:40:00,1.0,6.7,6.7,1.0,-3.8,10.0,0.0,0.0,63.89465090867328,37.24718529439607,1.0,-3.8,-3.8,-3.8,370208370.5508231,58753618.909856975
 09/19  05:50:00,1.0,6.7,6.7,1.0,-3.8,10.0,0.0,0.0,63.89465090867328,37.24718529439607,1.0,-1.2044637216086003,-1.2044637216086003,-1.2044637216086003,369756242.2736235,49361361.05552317
 09/19  06:00:00,1.0,6.7,6.7,1.0,-3.8,10.0,0.0,0.0,63.89465090867328,37.24718529439607,1.0,0.7216781303626758,0.7216781303626758,0.7216781303626758,370038638.6284882,51455538.97662598
 09/19  06:10:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,0.0,63.89465090867328,37.24718529439607,1.0,2.7455886942867025,2.7455886942867025,2.7455886942867025,510803472.19682026,62329958.98901694
 09/19  06:20:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,8847.341885324046,63.89465090867328,37.24718529439607,1.0,4.766574131969305,4.766574131969305,4.766574131969305,535591463.94566584,62806913.96300116
 09/19  06:30:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,94871.87052543051,63.89465090867328,37.24718529439607,1.0,6.7,6.7,6.7,557685198.8487514,48571560.79881236
 09/19  06:40:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,110542.38843787623,63.89465090867328,37.24718529439607,1.0,6.7,6.7,6.7,569383839.1135352,50294063.81841494
 09/19  06:50:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,114080.5357376774,63.89465090867328,37.24718529439607,1.0,6.7,6.7,6.7,572064309.4371237,38711593.22886631
 09/19  07:00:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,114980.35057950769,63.89465090867328,37.24718529439607,1.0,6.7,6.7,6.7,572706232.885677,28208773.048474316
 09/19  07:10:00,0.0,6.7,6.7,1.0,-3.8,10.0,0.0,112586.55688282126,63.89465090867327,37.24718529439607,1.0,6.700000000000001,6.700000000000001,6.700000000000001,863793003.4710768,26766232.21568267
